name
Superhuman Strength
Genius Intellect
Stealth
Regeneration
Charisma
Mind Control
Shape-Shifting
Elemental Manipulation
Illusion Crafting
Teleportation
Invisibility
Hypnosis
Poison Expertise
Necromancy
Enhanced Agility
Dark Magic
Telekinesis
Indomitable Will
Technopathy
Viral Manipulation
Night Vision
Time Manipulation
Supreme Marksmanship
Animal Control
Enhanced Persuasion
Fear Inducement
Master of Disguise
Body Possession
Energy Absorption
Subterfuge
Dimensional Travel
Sound Manipulation
Venomous Attack
Weapon Mastery
Chaos Inducement
Gravity Manipulation
Shadow Manipulation
Reality Warping
Intangibility
Immortality
Psychic Shield
Absorbing Powers
Clairvoyance
Hallucination Induction
Fearless Nature
Mind Reading
Deception Mastery
Magnetic Manipulation
Impenetrable Armor
Phasing Through Matter
Enhanced Stamina
Seduction
Brainwashing
Dream Manipulation
Dark Energy Manipulation
Echo Mimicry
Eldritch Summoning
Memory Erasure
Nuclear Physiology
Invulnerability
Self-Duplication
Enhanced Hearing
Energy Blasts
Paralysis Induction
Weather Control
Enhanced Reflexes
Monstrous Transformation
Barrier Creation
Portal Creation
Enhanced Intuition
Spellcasting
Poison Resistance
Enhanced Dexterity
Empathy Manipulation
Enhanced Smell
Disintegration Touch
Reality Vision
Bone Manipulation
Transmutation
Acid Manipulation
Astral Projection
Aura Manipulation
Density Manipulation
Electrokinesis
Hate Empowerment
Impersonation
Enhanced Breath
Enhanced Senses
Ice Manipulation
Power Nullification
Adaptive Regeneration
Aura of Intimidation
Cloning
Energy Vampirism
Gas Manipulation
Disease Immunity
Photographic Reflexes
Enhanced Pain Tolerance
Weapon Summoning
Dark Aura
Time Stealing
Heat Resistance
Intellectual Theft
Pain Inducement
Force Field Creation
Subsonic Speech
Enhanced Eyesight
Sand Manipulation
Psychic Weaponry
Living Shadow
Cybernetic Implants
Transcendence
Cursed Mark
Speed Manipulation
Plant Manipulation
Electromagnetic Control
Healing Reversal
Pain Resistance
Poison Immunity
Chaos Magic
Terror Projection
Blackmail Expertise
Manipulative Charm
Shadow Walking
Spatial Awareness
Revenge Empowerment
Blood Manipulation
Puppet Mastery
Cloaking
Soul Extraction
Immobilization
Matter Absorption
Sound Mimicry
Enhanced Tracking
Anti-Magic
Energy Constructs
Strength Sapping
Dream Infiltration
Mental Assault
Enhanced Jumping
Enhanced Intimidation
Mirage Creation
Contagion Creation
Enhanced Flexibility
Death Vision
Body Manipulation
Mind Fragmentation
Enhanced Reaction Time
Camouflage
Life Draining
Technological Genius
Life Force Manipulation
Fractured Mind
Emotion Manipulation
Toxicity
Life Manipulation
Gadget Mastery
Electricity Generation
Shapeshifting Weaponry
Power Sense
Dark Aura Manipulation
Heat Manipulation
Nightmare Induction
Supreme Agility
Hypersonic Movement
Darkness Cloaking
Memory Sharing
Mind Corruption
Enhanced Prediction
Curse Casting
Levitation
Poisonous Blood
Rage Induction
Supreme Focus
Enhanced Endurance
Unbreakable Bond
Thought Manipulation
Acidic Breath
Gaseous Form
Unstable Mutation
Ancient Knowledge
Genetic Alteration
Enhanced Durability
Plague Manipulation
Transcendent Vision
Unholy Communion
Clone Control
Life Preservation
Tactile Hypnosis
Mutation Detection
Induced Amnesia
Disease Creation
Biomass Manipulation
Enhanced Awareness
Cyber Telepathy
Thermal Vision
Unbreakable Skin
